date,open,close,high,low,volume
1686938400000,5.595,5.62,5.63,5.59,335825
1686942000000,5.625,5.56,5.625,5.56,1854879.0
1686945600000,5.56,5.55,5.57,5.55,71762
1687266000000,5.51,5.41,5.53,5.39,1410386.0
1687269600000,5.41,5.455,5.46,5.38,1382794.0
1687273200000,5.452,5.41,5.455,5.4,457773
1687276800000,5.41,5.4,5.425,5.39,501781
1687280400000,5.4,5.4099,5.4177,5.38,616304
1687284000000,5.405,5.415,5.42,5.385,632807
1687287600000,5.4184,5.42,5.44,5.39,1179735.0
1687291200000,5.41,5.43,5.43,5.41,37014
1687352400000,5.4,5.3475,5.4,5.31,631183
1687356000000,5.3493,5.365,5.3758,5.32,928813
1687359600000,5.365,5.375,5.38,5.34,503324
1687363200000,5.375,5.385,5.4,5.37,386773
1687366800000,5.38,5.385,5.4,5.375,195964
1687370400000,5.3897,5.38,5.4,5.38,276081
1687374000000,5.3829,5.35,5.39,5.35,630181
1687377600000,5.35,5.35,5.35,5.35,12221
1687438800000,5.31,5.295,5.35,5.28,561346
1687442400000,5.2988,5.25,5.305,5.25,814123
1687446000000,5.255,5.2451,5.27,5.24,559489
1687449600000,5.245,5.29,5.3,5.24,485439
1687453200000,5.29,5.285,5.29,5.26,286540
1687456800000,5.285,5.31,5.32,5.285,489580
1687460400000,5.3177,5.33,5.34,5.31,788198
1687464000000,5.33,5.34,5.37,5.33,54557
1687525200000,5.37,5.485,5.5,5.36,610118
1687528800000,5.48,5.359,5.4885,5.34,575542
1687532400000,5.35,5.3415,5.3554,5.32,537070
1687536000000,5.34,5.345,5.35,5.33,162562
1687539600000,5.345,5.34,5.35,5.33,118333
1687543200000,5.341,5.3172,5.35,5.31,350631
1687546800000,5.31,5.335,5.36,5.31,631148
1687550400000,5.3596,5.35,5.3596,5.33,1659
1687784400000,5.4299,5.4001,5.43,5.345,324181
1687788000000,5.4005,5.4297,5.44,5.395,549812
1687791600000,5.43,5.445,5.48,5.4128,719311
1687795200000,5.4499,5.46,5.475,5.43,716754
1687798800000,5.4523,5.495,5.5097,5.4523,441340
1687802400000,5.495,5.495,5.5,5.47,335348
1687806000000,5.495,5.5,5.51,5.48,504276
1687809600000,5.5,5.48,5.5,5.45,53325
1687870800000,5.52,5.5027,5.58,5.4801,393208
1687874400000,5.5,5.395,5.5,5.37,636307
1687878000000,5.39,5.38,5.41,5.36,525860
1687881600000,5.38,5.4089,5.42,5.37,383611
1687885200000,5.41,5.395,5.42,5.38,236556
1687888800000,5.3907,5.405,5.415,5.39,305435
1687892400000,5.405,5.42,5.44,5.39,677565
